comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Borgomasino,001031,Torino,2,2.54
Borgomezzavalle,103078,Verbano-Cusio-Ossola,0,0.0
Borgone Susa,001032,Torino,14,6.34
Borgoratto Alessandrino,006019,Alessandria,3,5.45
Borgosesia,002016,Vercelli,71,5.65
Borriana,096006,Biella,1,1.14
Bosco Marengo,006021,Alessandria,17,7.2
Bosconero,001033,Torino,13,4.15
Bosia,004026,Cuneo,1,5.56
Bosio,006022,Alessandria,4,3.4
Bossolasco,004027,Cuneo,5,7.84
Boves,004028,Cuneo,40,4.07
Bozzole,006023,Alessandria,2,5.99
Bra,004029,Cuneo,92,3.1
Brandizzo,001034,Torino,70,8.01
Briaglia,004030,Cuneo,3,9.77
Bricherasio,001035,Torino,29,6.28
Briga Alta,004031,Cuneo,0,0.0
Briga Novarese,003026,Novara,8,2.82
Brignano-Frascata,006024,Alessandria,3,6.86
Briona,003027,Novara,3,2.6
Brondello,004032,Cuneo,0,0.0
Brossasco,004033,Cuneo,4,3.82
Brosso,001036,Torino,5,12.69
Brovello-Carpugnino,103013,Verbano-Cusio-Ossola,9,12.66
Brozolo,001037,Torino,4,9.17
Bruino,001038,Torino,74,8.51
Bruno,005010,Asti,0,0.0
Brusasco,001039,Torino,14,9.16
Brusnengo,096007,Biella,4,1.98
Bruzolo,001040,Torino,15,9.83
Bubbio,005011,Asti,1,1.19
Buriasco,001041,Torino,11,8.14
Burolo,001042,Torino,4,3.5
Buronzo,002021,Vercelli,4,4.63
Busano,001043,Torino,6,3.67
Busca,004034,Cuneo,39,3.83
Bussoleno,001044,Torino,49,8.25
Buttigliera Alta,001045,Torino,41,6.4
Buttigliera D'Asti,005012,Asti,24,9.44
Cabella Ligure,006025,Alessandria,6,11.93
Cafasse,001046,Torino,25,7.32
Calamandrana,005013,Asti,6,3.47
Calasca-Castiglione,103014,Verbano-Cusio-Ossola,7,11.46
Callabiana,096008,Biella,1,7.52
Calliano,005014,Asti,1,0.78
