Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
1015,Bairo,Torino,9,11.25,800,Dati aggiornati al 14.10.2022 ore 18:30
1016,Balangero,Torino,50,15.81,3163,Dati aggiornati al 14.10.2022 ore 18:30
5007,Baldichieri D'Asti,Asti,4,3.52,1136,Dati aggiornati al 14.10.2022 ore 18:30
1017,Baldissero Canavese,Torino,9,16.61,542,Dati aggiornati al 14.10.2022 ore 18:30
4010,Baldissero D'Alba,Cuneo,2,1.89,1058,Dati aggiornati al 14.10.2022 ore 18:30
1018,Baldissero Torinese,Torino,58,15.76,3680,Dati aggiornati al 14.10.2022 ore 18:30
1019,Balme,Torino,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
2008,Balmuccia,Vercelli,3,26.79,112,Dati aggiornati al 14.10.2022 ore 18:30
2009,Balocco,Vercelli,7,30.84,227,Dati aggiornati al 14.10.2022 ore 18:30
6011,Balzola,Alessandria,14,10.39,1347,Dati aggiornati al 14.10.2022 ore 18:30
1020,Banchette,Torino,41,12.66,3239,Dati aggiornati al 14.10.2022 ore 18:30
103007,Bannio Anzino,Verbano-Cusio-Ossola,3,6.28,478,Dati aggiornati al 14.10.2022 ore 18:30
1021,Barbania,Torino,6,3.74,1604,Dati aggiornati al 14.10.2022 ore 18:30
4011,Barbaresco,Cuneo,2,3.17,631,Dati aggiornati al 14.10.2022 ore 18:30
1022,Bardonecchia,Torino,23,7.3,3151,Dati aggiornati al 14.10.2022 ore 18:30
3012,Barengo,Novara,4,5.08,787,Dati aggiornati al 14.10.2022 ore 18:30
4012,Barge,Cuneo,43,5.65,7611,Dati aggiornati al 14.10.2022 ore 18:30
4013,Barolo,Cuneo,2,2.9,690,Dati aggiornati al 14.10.2022 ore 18:30
1023,Barone Canavese,Torino,7,11.88,589,Dati aggiornati al 14.10.2022 ore 18:30
6012,Basaluzzo,Alessandria,17,8.21,2071,Dati aggiornati al 14.10.2022 ore 18:30
6013,Bassignana,Alessandria,10,5.97,1675,Dati aggiornati al 14.10.2022 ore 18:30
4014,Bastia Mondovi',Cuneo,15,22.49,667,Dati aggiornati al 14.10.2022 ore 18:30
