Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
1069,Cavagnolo,Torino,17,8.26,2058,Dati aggiornati al 17.05.2022 ore 18:30
1070,Cavour,Torino,16,2.91,5498,Dati aggiornati al 17.05.2022 ore 18:30
1071,Cercenasco,Torino,10,5.53,1808,Dati aggiornati al 17.05.2022 ore 18:30
1072,Ceres,Torino,10,9.57,1045,Dati aggiornati al 17.05.2022 ore 18:30
1073,Ceresole Reale,Torino,1,5.99,167,Dati aggiornati al 17.05.2022 ore 18:30
1074,Cesana Torinese,Torino,4,4.24,943,Dati aggiornati al 17.05.2022 ore 18:30
1075,Chialamberto,Torino,3,8.15,368,Dati aggiornati al 17.05.2022 ore 18:30
1076,Chianocco,Torino,10,6.2,1613,Dati aggiornati al 17.05.2022 ore 18:30
1077,Chiaverano,Torino,11,5.34,2060,Dati aggiornati al 17.05.2022 ore 18:30
1078,Chieri,Torino,309,8.36,36962,Dati aggiornati al 17.05.2022 ore 18:30
1079,Chiesanuova,Torino,3,12.88,233,Dati aggiornati al 17.05.2022 ore 18:30
1080,Chiomonte,Torino,6,6.76,888,Dati aggiornati al 17.05.2022 ore 18:30
1081,Chiusa Di San Michele,Torino,13,8.01,1623,Dati aggiornati al 17.05.2022 ore 18:30
1082,Chivasso,Torino,176,6.54,26911,Dati aggiornati al 17.05.2022 ore 18:30
1083,Ciconio,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1084,Cintano,Torino,2,7.94,252,Dati aggiornati al 17.05.2022 ore 18:30
1085,Cinzano,Torino,1,3.03,330,Dati aggiornati al 17.05.2022 ore 18:30
1086,Cirie',Torino,105,5.65,18584,Dati aggiornati al 17.05.2022 ore 18:30
1087,Claviere,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1088,Coassolo Torinese,Torino,4,2.67,1498,Dati aggiornati al 17.05.2022 ore 18:30
1089,Coazze,Torino,11,3.4,3235,Dati aggiornati al 17.05.2022 ore 18:30
1090,Collegno,Torino,327,6.58,49696,Dati aggiornati al 17.05.2022 ore 18:30
1091,Colleretto Castelnuovo,Torino,1,3.16,316,Dati aggiornati al 17.05.2022 ore 18:30
1092,Colleretto Giacosa,Torino,5,8.73,573,Dati aggiornati al 17.05.2022 ore 18:30
1093,Condove,Torino,31,6.74,4599,Dati aggiornati al 17.05.2022 ore 18:30
1094,Corio,Torino,16,4.99,3206,Dati aggiornati al 17.05.2022 ore 18:30
1095,Cossano Canavese,Torino,7,14.4,486,Dati aggiornati al 17.05.2022 ore 18:30
1096,Cuceglio,Torino,11,11.12,989,Dati aggiornati al 17.05.2022 ore 18:30
1097,Cumiana,Torino,48,6.08,7895,Dati aggiornati al 17.05.2022 ore 18:30
1098,Cuorgne',Torino,71,7.34,9673,Dati aggiornati al 17.05.2022 ore 18:30
1099,Druento,Torino,42,4.74,8861,Dati aggiornati al 17.05.2022 ore 18:30
1100,Exilles,Torino,1,3.98,251,Dati aggiornati al 17.05.2022 ore 18:30
1101,Favria,Torino,24,4.57,5252,Dati aggiornati al 17.05.2022 ore 18:30
1102,Feletto,Torino,19,8.39,2265,Dati aggiornati al 17.05.2022 ore 18:30
1103,Fenestrelle,Torino,1,1.96,510,Dati aggiornati al 17.05.2022 ore 18:30
1104,Fiano,Torino,23,8.62,2668,Dati aggiornati al 17.05.2022 ore 18:30
1105,Fiorano Canavese,Torino,6,7.8,769,Dati aggiornati al 17.05.2022 ore 18:30
1106,Foglizzo,Torino,14,6.04,2318,Dati aggiornati al 17.05.2022 ore 18:30
1107,Forno Canavese,Torino,18,5.4,3333,Dati aggiornati al 17.05.2022 ore 18:30
1108,Frassinetto,Torino,2,7.14,280,Dati aggiornati al 17.05.2022 ore 18:30
1109,Front,Torino,7,4.27,1639,Dati aggiornati al 17.05.2022 ore 18:30
1110,Frossasco,Torino,15,5.23,2868,Dati aggiornati al 17.05.2022 ore 18:30
1111,Garzigliana,Torino,2,3.62,552,Dati aggiornati al 17.05.2022 ore 18:30
1112,Gassino Torinese,Torino,67,7.01,9558,Dati aggiornati al 17.05.2022 ore 18:30
1113,Germagnano,Torino,3,2.57,1167,Dati aggiornati al 17.05.2022 ore 18:30
1114,Giaglione,Torino,2,3.28,610,Dati aggiornati al 17.05.2022 ore 18:30
1115,Giaveno,Torino,98,5.98,16388,Dati aggiornati al 17.05.2022 ore 18:30
1116,Givoletto,Torino,25,6.35,3937,Dati aggiornati al 17.05.2022 ore 18:30
1117,Gravere,Torino,1,1.48,676,Dati aggiornati al 17.05.2022 ore 18:30
1118,Groscavallo,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1119,Grosso,Torino,5,4.88,1025,Dati aggiornati al 17.05.2022 ore 18:30
