Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
3122,Prato Sesia,Novara,10,5.35,1869,Dati aggiornati al 29.12.2022 ore 18:30
3129,Recetto,Novara,4,4.15,964,Dati aggiornati al 29.12.2022 ore 18:30
3130,Romagnano Sesia,Novara,19,4.88,3893,Dati aggiornati al 29.12.2022 ore 18:30
3131,Romentino,Novara,15,2.67,5618,Dati aggiornati al 29.12.2022 ore 18:30
3133,San Maurizio D'Opaglio,Novara,17,5.56,3058,Dati aggiornati al 29.12.2022 ore 18:30
3134,San Nazzaro Sesia,Novara,1,1.36,735,Dati aggiornati al 29.12.2022 ore 18:30
3135,San Pietro Mosezzo,Novara,8,4.01,1995,Dati aggiornati al 29.12.2022 ore 18:30
3138,Sillavengo,Novara,2,3.56,562,Dati aggiornati al 29.12.2022 ore 18:30
3139,Sizzano,Novara,3,2.1,1429,Dati aggiornati al 29.12.2022 ore 18:30
3140,Soriso,Novara,3,3.94,761,Dati aggiornati al 29.12.2022 ore 18:30
3141,Sozzago,Novara,4,3.74,1070,Dati aggiornati al 29.12.2022 ore 18:30
3143,Suno,Novara,4,1.45,2759,Dati aggiornati al 29.12.2022 ore 18:30
3144,Terdobbiate,Novara,3,6.38,470,Dati aggiornati al 29.12.2022 ore 18:30
3146,Tornaco,Novara,7,7.51,932,Dati aggiornati al 29.12.2022 ore 18:30
3149,Trecate,Novara,68,3.28,20732,Dati aggiornati al 29.12.2022 ore 18:30
3153,Vaprio D'Agogna,Novara,1,1.01,990,Dati aggiornati al 29.12.2022 ore 18:30
3154,Varallo Pombia,Novara,15,3.05,4918,Dati aggiornati al 29.12.2022 ore 18:30
3158,Vespolate,Novara,5,2.44,2049,Dati aggiornati al 29.12.2022 ore 18:30
3159,Vicolungo,Novara,3,3.42,877,Dati aggiornati al 29.12.2022 ore 18:30
3164,Vinzaglio,Novara,9,16.04,561,Dati aggiornati al 29.12.2022 ore 18:30
