Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
2128,Saluggia,Vercelli,31,7.92,3914,Dati aggiornati al 06.12.2022 ore 18:30
2131,San Germano Vercellese,Vercelli,16,10.36,1544,Dati aggiornati al 06.12.2022 ore 18:30
2035,San Giacomo Vercellese,Vercelli,0,0.0,,Dati aggiornati al 06.12.2022 ore 18:30
2133,Santhia',Vercelli,39,4.61,8460,Dati aggiornati al 06.12.2022 ore 18:30
2134,Scopa,Vercelli,8,20.46,391,Dati aggiornati al 06.12.2022 ore 18:30
2135,Scopello,Vercelli,3,8.29,362,Dati aggiornati al 06.12.2022 ore 18:30
2137,Serravalle Sesia,Vercelli,36,7.36,4891,Dati aggiornati al 06.12.2022 ore 18:30
2142,Stroppiana,Vercelli,7,5.86,1195,Dati aggiornati al 06.12.2022 ore 18:30
2147,Tricerro,Vercelli,6,8.65,694,Dati aggiornati al 06.12.2022 ore 18:30
2148,Trino,Vercelli,24,3.41,7038,Dati aggiornati al 06.12.2022 ore 18:30
2150,Tronzano Vercellese,Vercelli,18,5.21,3455,Dati aggiornati al 06.12.2022 ore 18:30
2152,Valduggia,Vercelli,13,6.64,1958,Dati aggiornati al 06.12.2022 ore 18:30
2156,Varallo,Vercelli,48,6.72,7143,Dati aggiornati al 06.12.2022 ore 18:30
2158,Vercelli,Vercelli,347,7.54,46021,Dati aggiornati al 06.12.2022 ore 18:30
2163,Villarboit,Vercelli,1,2.34,427,Dati aggiornati al 06.12.2022 ore 18:30
2164,Villata,Vercelli,14,8.95,1564,Dati aggiornati al 06.12.2022 ore 18:30
2166,Vocca,Vercelli,1,6.21,161,Dati aggiornati al 06.12.2022 ore 18:30
