Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
4060,Celle Di Macra,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4061,Centallo,Cuneo,30,4.27,7026,Dati aggiornati al 29.04.2022 ore 18:30
4062,Ceresole Alba,Cuneo,19,9.25,2054,Dati aggiornati al 29.04.2022 ore 18:30
4063,Cerretto Langhe,Cuneo,7,16.28,430,Dati aggiornati al 29.04.2022 ore 18:30
4064,Cervasca,Cuneo,34,6.62,5136,Dati aggiornati al 29.04.2022 ore 18:30
4065,Cervere,Cuneo,12,5.31,2260,Dati aggiornati al 29.04.2022 ore 18:30
4066,Ceva,Cuneo,46,8.07,5700,Dati aggiornati al 29.04.2022 ore 18:30
4067,Cherasco,Cuneo,102,10.98,9290,Dati aggiornati al 29.04.2022 ore 18:30
4068,Chiusa Di Pesio,Cuneo,27,7.4,3649,Dati aggiornati al 29.04.2022 ore 18:30
4069,Ciglie',Cuneo,4,21.62,185,Dati aggiornati al 29.04.2022 ore 18:30
4070,Cissone,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4071,Clavesana,Cuneo,26,32.3,805,Dati aggiornati al 29.04.2022 ore 18:30
4072,Corneliano D'Alba,Cuneo,10,4.66,2146,Dati aggiornati al 29.04.2022 ore 18:30
4073,Cortemilia,Cuneo,18,7.93,2270,Dati aggiornati al 29.04.2022 ore 18:30
4074,Cossano Belbo,Cuneo,3,3.15,952,Dati aggiornati al 29.04.2022 ore 18:30
4075,Costigliole Saluzzo,Cuneo,17,5.15,3301,Dati aggiornati al 29.04.2022 ore 18:30
4076,Cravanzana,Cuneo,4,10.96,365,Dati aggiornati al 29.04.2022 ore 18:30
4077,Crissolo,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4078,Cuneo,Cuneo,520,9.26,56156,Dati aggiornati al 29.04.2022 ore 18:30
4079,Demonte,Cuneo,13,6.64,1958,Dati aggiornati al 29.04.2022 ore 18:30
4080,Diano D'Alba,Cuneo,24,6.63,3620,Dati aggiornati al 29.04.2022 ore 18:30
4081,Dogliani,Cuneo,52,11.09,4689,Dati aggiornati al 29.04.2022 ore 18:30
4082,Dronero,Cuneo,34,4.84,7025,Dati aggiornati al 29.04.2022 ore 18:30
4083,Elva,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4084,Entracque,Cuneo,5,5.82,859,Dati aggiornati al 29.04.2022 ore 18:30
4085,Envie,Cuneo,3,1.51,1987,Dati aggiornati al 29.04.2022 ore 18:30
4086,Farigliano,Cuneo,27,15.19,1777,Dati aggiornati al 29.04.2022 ore 18:30
4087,Faule,Cuneo,1,2.05,488,Dati aggiornati al 29.04.2022 ore 18:30
4088,Feisoglio,Cuneo,5,16.39,305,Dati aggiornati al 29.04.2022 ore 18:30
4089,Fossano,Cuneo,195,8.05,24224,Dati aggiornati al 29.04.2022 ore 18:30
4090,Frabosa Soprana,Cuneo,9,11.97,752,Dati aggiornati al 29.04.2022 ore 18:30
4091,Frabosa Sottana,Cuneo,10,6.54,1529,Dati aggiornati al 29.04.2022 ore 18:30
4092,Frassino,Cuneo,5,18.59,269,Dati aggiornati al 29.04.2022 ore 18:30
4093,Gaiola,Cuneo,3,5.15,583,Dati aggiornati al 29.04.2022 ore 18:30
4094,Gambasca,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4095,Garessio,Cuneo,48,15.71,3055,Dati aggiornati al 29.04.2022 ore 18:30
4096,Genola,Cuneo,8,3.02,2649,Dati aggiornati al 29.04.2022 ore 18:30
4097,Gorzegno,Cuneo,3,10.99,273,Dati aggiornati al 29.04.2022 ore 18:30
4098,Gottasecca,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4099,Govone,Cuneo,8,3.61,2216,Dati aggiornati al 29.04.2022 ore 18:30
4100,Grinzane Cavour,Cuneo,9,4.44,2027,Dati aggiornati al 29.04.2022 ore 18:30
4101,Guarene,Cuneo,30,8.35,3593,Dati aggiornati al 29.04.2022 ore 18:30
4102,Igliano,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4103,Isasca,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4105,La Morra,Cuneo,32,11.56,2768,Dati aggiornati al 29.04.2022 ore 18:30
4104,Lagnasco,Cuneo,7,4.89,1431,Dati aggiornati al 29.04.2022 ore 18:30
4106,Lequio Berria,Cuneo,7,15.09,464,Dati aggiornati al 29.04.2022 ore 18:30
4107,Lequio Tanaro,Cuneo,5,6.75,741,Dati aggiornati al 29.04.2022 ore 18:30
4108,Lesegno,Cuneo,11,13.27,829,Dati aggiornati al 29.04.2022 ore 18:30
4109,Levice,Cuneo,3,14.29,210,Dati aggiornati al 29.04.2022 ore 18:30
4110,Limone Piemonte,Cuneo,24,16.47,1457,Dati aggiornati al 29.04.2022 ore 18:30
4111,Lisio,Cuneo,3,15.96,188,Dati aggiornati al 29.04.2022 ore 18:30
4112,Macra,Cuneo,1,17.86,56,Dati aggiornati al 29.04.2022 ore 18:30
4113,Magliano Alfieri,Cuneo,12,5.46,2198,Dati aggiornati al 29.04.2022 ore 18:30
4114,Magliano Alpi,Cuneo,37,16.58,2232,Dati aggiornati al 29.04.2022 ore 18:30
4115,Mango,Cuneo,5,3.79,1319,Dati aggiornati al 29.04.2022 ore 18:30
4116,Manta,Cuneo,24,6.34,3785,Dati aggiornati al 29.04.2022 ore 18:30
4117,Marene,Cuneo,20,6.02,3322,Dati aggiornati al 29.04.2022 ore 18:30
4118,Margarita,Cuneo,5,3.47,1441,Dati aggiornati al 29.04.2022 ore 18:30
4119,Marmora,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4120,Marsaglia,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4121,Martiniana Po,Cuneo,3,4.02,746,Dati aggiornati al 29.04.2022 ore 18:30
4122,Melle,Cuneo,2,6.94,288,Dati aggiornati al 29.04.2022 ore 18:30
4123,Moiola,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4124,Mombarcaro,Cuneo,7,26.52,264,Dati aggiornati al 29.04.2022 ore 18:30
4125,Mombasiglio,Cuneo,5,8.2,610,Dati aggiornati al 29.04.2022 ore 18:30
4126,Monastero Di Vasco,Cuneo,10,7.75,1290,Dati aggiornati al 29.04.2022 ore 18:30
4127,Monasterolo Casotto,Cuneo,2,23.81,84,Dati aggiornati al 29.04.2022 ore 18:30
4128,Monasterolo Di Savigliano,Cuneo,6,4.34,1382,Dati aggiornati al 29.04.2022 ore 18:30
4129,Monchiero,Cuneo,7,12.11,578,Dati aggiornati al 29.04.2022 ore 18:30
4130,Mondovi',Cuneo,356,15.89,22404,Dati aggiornati al 29.04.2022 ore 18:30
4131,Monesiglio,Cuneo,5,8.05,621,Dati aggiornati al 29.04.2022 ore 18:30
4132,Monforte D'Alba,Cuneo,24,12.03,1995,Dati aggiornati al 29.04.2022 ore 18:30
4133,Monta',Cuneo,32,6.81,4699,Dati aggiornati al 29.04.2022 ore 18:30
4134,Montaldo Di Mondovi',Cuneo,5,8.99,556,Dati aggiornati al 29.04.2022 ore 18:30
4135,Montaldo Roero,Cuneo,6,7.09,846,Dati aggiornati al 29.04.2022 ore 18:30
4136,Montanera,Cuneo,6,8.01,749,Dati aggiornati al 29.04.2022 ore 18:30
4137,Montelupo Albese,Cuneo,3,6.19,485,Dati aggiornati al 29.04.2022 ore 18:30
4138,Montemale Di Cuneo,Cuneo,3,13.1,229,Dati aggiornati al 29.04.2022 ore 18:30
4139,Monterosso Grana,Cuneo,2,3.8,526,Dati aggiornati al 29.04.2022 ore 18:30
4140,Monteu Roero,Cuneo,15,9.35,1604,Dati aggiornati al 29.04.2022 ore 18:30
4141,Montezemolo,Cuneo,4,17.09,234,Dati aggiornati al 29.04.2022 ore 18:30
4142,Monticello D'Alba,Cuneo,9,3.8,2368,Dati aggiornati al 29.04.2022 ore 18:30
4143,Moretta,Cuneo,22,5.39,4082,Dati aggiornati al 29.04.2022 ore 18:30
4144,Morozzo,Cuneo,7,3.49,2006,Dati aggiornati al 29.04.2022 ore 18:30
4145,Murazzano,Cuneo,27,32.45,832,Dati aggiornati al 29.04.2022 ore 18:30
4146,Murello,Cuneo,12,12.64,949,Dati aggiornati al 29.04.2022 ore 18:30
